"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C14","Cap,_1206","73.75mm","107.25mm","73.75mm","107.25mm","75.272mm","107.25mm","B","180.00","Cap"
"C13","Cap,_1206","64.75mm","107mm","64.75mm","107mm","64.75mm","108.522mm","B","270.00","Cap"
"M2","Standoff,Hex,M3,8mm","33mm","97.25mm","33mm","97.25mm","33mm","97.25mm","T","0.00","M3 hex Standoff"
"M1","Standoff,Hex,M3,8mm","81.75mm","75.25mm","81.75mm","75.25mm","81.75mm","75.25mm","T","0.00","M3 hex Standoff"
"C26","Cap,_1206","70.75mm","82.5mm","70.75mm","82.5mm","70.75mm","84.022mm","B","270.00","Cap"
"C24","Cap,_1206","73.75mm","104.75mm","73.75mm","104.75mm","75.272mm","104.75mm","B","180.00","Cap"
"C23","Cap,_1206","73.75mm","102.25mm","73.75mm","102.25mm","75.272mm","102.25mm","B","180.00","Cap"
"C22","Cap,_1206","62.25mm","107mm","62.25mm","107mm","62.25mm","108.522mm","B","270.00","Cap"
"C10","Cap,_1206","51mm","107mm","51mm","107mm","51mm","108.522mm","B","270.00","Cap"
"C21","Cap,_1206","48.5mm","107mm","48.5mm","107mm","48.5mm","108.522mm","B","270.00","Cap"
"J1","CONN,_IEC320,703W-00/54","56.576mm","41.046mm","56.576mm","37.296mm","47.576mm","44.796mm","T","180.00","Qualtek 703W-00/54"
"C1","Cap,_1206","59.75mm","107mm","59.75mm","107mm","59.75mm","108.522mm","B","270.00","Cap"
"C2","CAP,_0805,_HD","75.076mm","89.796mm","75.076mm","89.796mm","75.076mm","88.78mm","B","90.00","AVX 08053C225KAT2A"
"C3","Cap,7.5mm,RFI","59.876mm","59.746mm","59.876mm","63.496mm","59.876mm","63.496mm","T","270.00","Cap"
"C4","Cap,_Rad,_5mmLead,12.5mmDia,Pin_2+","38.076mm","84.796mm","40.576mm","84.796mm","40.576mm","84.796mm","T","180.00","Cap,polar,through hole,12.5mm,56uf,250V,20%,UCY2E560MHD1TO"
"C5","Cap,_Rad,_5mmLead,12.5mmDia,Pin_2+","38.076mm","71.796mm","40.576mm","71.796mm","40.576mm","71.796mm","T","180.00","Cap,polar,through hole,12.5mm,56uf,250V,20%,UCY2E560MHD1TO"
"C6","Cap,_5mm_Lead_Spaceing,_4mm_dai","52.326mm","81.046mm","54.826mm","81.046mm","54.826mm","81.046mm","T","180.00","Cap"
"C7","CAP,RFI,15mm_Lead_Spaceing","47.576mm","60.296mm","47.576mm","67.796mm","47.576mm","67.796mm","T","270.00","Cap"
"C8","Cap,_5mm_Lead_Spaceing,_4mm_dai","47.576mm","90.296mm","47.576mm","87.796mm","47.576mm","87.796mm","T","90.00","10nf"
"C9","Cap,7.5mm,RFI","79.276mm","59.7461mm","79.276mm","55.9961mm","79.276mm","55.9961mm","T","90.00","Cap"
"C11","CAP,_0805,_HD","67.576mm","101.796mm","67.576mm","101.796mm","68.592mm","101.796mm","B","180.00","AVX 08053C225KAT2A"
"C12","Cap,_1206","46mm","107mm","46mm","107mm","46mm","108.522mm","B","270.00","Cap"
"C18","CAP,_0805,_HD","56.5mm","102mm","56.5mm","102mm","57.516mm","102mm","B","180.00","AVX 08053C225KAT2A"
"C25","CAP,_0805,_HD","80.276mm","96.596mm","80.276mm","96.596mm","81.292mm","96.596mm","B","180.00","CC0805KRX7R9BB221"
"C15","CAP,_0805,_HD","71.576mm","73.546mm","71.576mm","73.546mm","72.592mm","73.546mm","B","180.00","Kemet C0805X102J1GACAUTO"
"C16","CAP,_0805,_HD","71.576mm","71.296mm","71.576mm","71.296mm","72.592mm","71.296mm","B","180.00","Kemet C0805X102J1GACAUTO"
"C17","CAP,_0805,_HD","79.276mm","99.796mm","79.276mm","99.796mm","79.276mm","98.78mm","B","90.00","08055C104JAT2A"
"C19","CAP,_0805,_HD","67.326mm","81.296mm","67.326mm","81.296mm","68.342mm","81.296mm","B","180.00","AVX 08053C225KAT2A"
"C20","CAP,_0805,_HD","67.326mm","83.546mm","67.326mm","83.546mm","68.342mm","83.546mm","B","180.00","08055C104JAT2A"
"CM1","Common_mode_inductor,TLF9UA102W0R8K1","37.076mm","59.796mm","41.076mm","56.296mm","41.076mm","56.296mm","T","180.00","KEMET SC-03-10G"
"D1","DO-214AC,_SMA","75.076mm","95.296mm","75.076mm","95.296mm","75.076mm","93.296mm","B","90.00","NRVTSA4100ET3G"
"D2","SOD123","73.75mm","109.5mm","73.75mm","109.5mm","72.115mm","109.5mm","B","360.00","MMSZ4705T1G"
"D3","Micro-DIP,_4-Leads","37.076mm","65.296mm","37.076mm","65.296mm","35.076mm","68.246mm","B","0.00","Diode,Bridge, micro-dip,1A,600V, MDB6S"
"D4","DO-214AC,_SMA","62.076mm","101.796mm","62.076mm","101.796mm","64.076mm","101.796mm","B","180.00","NRVTSA4100ET3G"
"D5","SOD123","56.5mm","110.75mm","56.5mm","110.75mm","54.865mm","110.75mm","B","360.00","MMSZ4705T1G"
"D6","DO-214AC,_SMA","55.826mm","84.296mm","55.826mm","84.296mm","57.826mm","84.296mm","B","180.00","Diodes Inc. S1J-13-F"
"D7","DO-214AC,_SMA","50.326mm","101.796mm","50.326mm","101.796mm","52.326mm","101.796mm","B","180.00","NRVTSA4100ET3G"
"D8","SOD123","45.25mm","110.5mm","45.25mm","110.5mm","43.615mm","110.5mm","B","360.00","MMSZ4705T1G"
"D9","SOT23-3","63.826mm","82.296mm","63.826mm","82.296mm","62.8684mm","83.3548mm","B","180.00","Diode"
"D10","SOD123","73.25mm","82.75mm","73.25mm","82.75mm","73.25mm","81.115mm","B","90.00","MMSZ5250BT1G"
"F1","Fuse_chip,_SMD,9.4mm","57mm","36.75mm","57mm","36.75mm","52.3264mm","36.75mm","B","360.00","Littelfuse 0461.500ER"
"J2","TERM_BLOCK_2POS_SIDE_ENTRY_5MM","67.686mm","116.396mm","70.226mm","116.396mm","70.226mm","116.396mm","T","360.00","TE Connectivity 282836-2"
"J4","TERM_BLOCK_2POS_SIDE_ENTRY_5MM","56.436mm","116.396mm","58.976mm","116.396mm","58.976mm","116.396mm","T","360.00","TE Connectivity 282836-2"
"J6","TERM_BLOCK_2POS_SIDE_ENTRY_5MM","45.186mm","116.396mm","47.726mm","116.396mm","47.726mm","116.396mm","T","360.00","TE Connectivity 282836-2"
"M3","Standoff,Hex,M3,8mm","33mm","116.5mm","33mm","116.5mm","33mm","116.5mm","T","0.00","M3 hex Standoff"
"M4","Standoff,Hex,M3,8mm","81.75mm","116.5mm","81.75mm","116.5mm","81.75mm","116.5mm","T","0.00","M3 hex Standoff"
"MOV1","MOV,_5mm_spacing","66.426mm","62.296mm","65.676mm","64.796mm","65.676mm","64.796mm","T","270.00","MOV, though hole, 390V, 1.2kA, B72207S0251K101"
"MOV3","MOV,_5mm_spacing","70.076mm","54.546mm","72.576mm","55.296mm","72.576mm","55.296mm","T","180.00","MOV, though hole, 390V, 1.2kA, B72207S0251K101"
"R3","Res,1210","51.076mm","91.046mm","51.076mm","91.046mm","51.076mm","89.446mm","B","90.00","Panasonic ERJ-14NF1003U"
"MOV2","MOV,_5mm_spacing","72.726mm","62.196mm","73.476mm","59.696mm","73.476mm","59.696mm","T","90.00","MOV, though hole, 390V, 1.2kA, B72207S0251K101"
"R5","Resistor,2010,1W","51.076mm","86.296mm","51.076mm","86.296mm","51.076mm","84.871mm","B","90.00","Bourns CRS2010-JX-100ELF"
"R6","res,_0805,_HD","79.676mm","109.296mm","79.676mm","109.296mm","78.726mm","109.296mm","B","360.00","Vishay Dale CRCW08053K32FKEA"
"R7","res,_0805,_HD","77.5mm","91.5mm","77.5mm","91.5mm","77.5mm","90.55mm","B","90.00","Vishay Dale CRCW0805681RFKEA"
"R8","res,_0805,_HD","82.876mm","92.996mm","82.876mm","92.996mm","82.876mm","92.046mm","B","90.00","Vishay Dale CRCW08053K32FKEA"
"R9","res,_0805,_HD","71.576mm","77.796mm","71.576mm","77.796mm","70.626mm","77.796mm","B","360.00","Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA"
"R10","res,_0805,_HD","79.676mm","107.196mm","79.676mm","107.196mm","80.626mm","107.196mm","B","180.00","Vishay Dale CRCW08050000Z0EAHP"
"R11","res,_0805,_HD","71.576mm","75.796mm","71.576mm","75.796mm","72.526mm","75.796mm","B","180.00","Vishay / Dale CRCW080510K0FKTA"
"R12","res,_0805,_HD","79.676mm","104.996mm","79.676mm","104.996mm","78.726mm","104.996mm","B","360.00","Vishay Dale CRCW080536K0FKEA"
"R14","res,_0805,_HD","81.376mm","99.696mm","81.376mm","99.696mm","81.376mm","100.646mm","B","270.00","Vishay / Dale CRCW080510K0FKTA"
"R15","Res,1210","54.076mm","74.296mm","54.076mm","74.296mm","54.076mm","75.896mm","B","270.00","RP73D2B10RBTG"
"R16","Res,1210","50.576mm","74.296mm","50.576mm","74.296mm","50.576mm","75.896mm","B","270.00","RP73D2B10RBTG"
"R17","Res,1210","47.076mm","74.296mm","47.076mm","74.296mm","47.076mm","75.896mm","B","270.00","RP73D2B10RBTG"
"R18","res,_0805,_HD","79.676mm","102.796mm","79.676mm","102.796mm","80.626mm","102.796mm","B","180.00","Vishay / Dale CRCW080510K0FKTA"
"T1","Transformer_EE20,_10_Pos","63.0825mm","92.976mm","55.399mm","87.896mm","55.399mm","87.896mm","T","90.00","EE20 Transformer"
"U1","SOP,_16-Leads","62.326mm","76.046mm","62.326mm","76.046mm","66.771mm","73.446mm","B","90.00","Infineon ICE2QR2280GXUMA1"
"U2","SSOP,_4-Leads","79.826mm","86.546mm","79.826mm","86.546mm","79.191mm","89.696mm","B","270.00","opto,TCMT1109"
"U3","SOT23-3","80.276mm","92.996mm","80.276mm","92.996mm","81.2336mm","91.9372mm","B","360.00","Shunt Regulator,2.5Vdc TL431IDBZT"
"J3","Quick_connect_terminal","83mm","47.67mm","83mm","45.17mm","83mm","45.17mm","T","90.00","Wire Terminal,Quick connect, through hole, Keystone 1287-ST"
"J5","Quick_connect_terminal","31.25mm","47.75mm","31.25mm","50.25mm","31.25mm","50.25mm","T","270.00","Wire Terminal,Quick connect, through hole, Keystone 1287-ST"

